Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,,
"Combined Yearly Income of couple (excluding OAS, GIS and Allowance) From ($)","Combined Yearly Income of couple (excluding OAS, GIS and Allowance) To ($)",Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($),Total Monthly Allowance ($)
"Revenu annuel du couple (excluant la pension de la SV, le SRG et l'Allocation) De ($)","Revenu annuel du couple (excluant la pension de la SV, le SRG et l'Allocation) À ($)",Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($),Total mensuel pour l'Allocation  ($)
19200,19247.99,432.59,1145.93,1217.26,432.59
19248,19295.99,431.59,1144.93,1216.26,431.59
19296,19343.99,430.59,1143.93,1215.26,430.59
19344,19391.99,429.59,1142.93,1214.26,429.59
19392,19439.99,428.59,1141.93,1213.26,428.59
19440,19487.99,427.59,1140.93,1212.26,427.59
19488,19535.99,426.59,1139.93,1211.26,426.59
19536,19583.99,425.59,1138.93,1210.26,425.59
19584,19631.99,424.59,1137.93,1209.26,424.59
19632,19679.99,423.59,1136.93,1208.26,423.59
19680,19727.99,422.59,1135.93,1207.26,422.59
19728,19775.99,421.59,1134.93,1206.26,421.59
19776,19823.99,420.59,1133.93,1205.26,420.59
19824,19871.99,419.59,1132.93,1204.26,419.59
19872,19919.99,418.59,1131.93,1203.26,418.59
19920,19967.99,417.59,1130.93,1202.26,417.59
19968,20015.99,416.59,1129.93,1201.26,416.59
20016,20063.99,415.59,1128.93,1200.26,415.59
20064,20111.99,414.59,1127.93,1199.26,414.59
20112,20159.99,413.59,1126.93,1198.26,413.59
20160,20207.99,412.59,1125.93,1197.26,412.59
20208,20255.99,411.59,1124.93,1196.26,411.59
20256,20303.99,410.59,1123.93,1195.26,410.59
20304,20351.99,409.59,1122.93,1194.26,409.59
20352,20399.99,408.59,1121.93,1193.26,408.59
20400,20447.99,407.59,1120.93,1192.26,407.59
20448,20495.99,406.59,1119.93,1191.26,406.59
20496,20543.99,405.59,1118.93,1190.26,405.59
20544,20591.99,404.59,1117.93,1189.26,404.59
20592,20639.99,403.59,1116.93,1188.26,403.59
20640,20687.99,402.59,1115.93,1187.26,402.59
20688,20735.99,401.59,1114.93,1186.26,401.59
20736,20783.99,400.59,1113.93,1185.26,400.59
20784,20831.99,399.59,1112.93,1184.26,399.59
20832,20879.99,398.59,1111.93,1183.26,398.59
20880,20927.99,397.59,1110.93,1182.26,397.59
20928,20975.99,396.59,1109.93,1181.26,396.59
20976,21023.99,395.59,1108.93,1180.26,395.59
21024,21071.99,394.59,1107.93,1179.26,394.59
21072,21119.99,393.59,1106.93,1178.26,393.59
21120,21167.99,392.59,1105.93,1177.26,392.59
21168,21215.99,391.59,1104.93,1176.26,391.59
21216,21263.99,390.59,1103.93,1175.26,390.59
21264,21311.99,389.59,1102.93,1174.26,389.59
21312,21359.99,388.59,1101.93,1173.26,388.59
21360,21407.99,387.59,1100.93,1172.26,387.59
21408,21455.99,386.59,1099.93,1171.26,386.59
21456,21503.99,385.59,1098.93,1170.26,385.59
21504,21551.99,384.59,1097.93,1169.26,384.59
21552,21599.99,383.59,1096.93,1168.26,383.59
21600,21647.99,382.59,1095.93,1167.26,382.59
21648,21695.99,381.59,1094.93,1166.26,381.59
21696,21743.99,380.59,1093.93,1165.26,380.59
21744,21791.99,379.59,1092.93,1164.26,379.59
21792,21839.99,378.59,1091.93,1163.26,378.59
21840,21887.99,377.59,1090.93,1162.26,377.59
21888,21935.99,376.59,1089.93,1161.26,376.59
21936,21983.99,375.59,1088.93,1160.26,375.59
21984,22031.99,374.59,1087.93,1159.26,374.59
22032,22079.99,373.59,1086.93,1158.26,373.59
22080,22127.99,372.59,1085.93,1157.26,372.59
22128,22175.99,371.59,1084.93,1156.26,371.59
22176,22223.99,370.59,1083.93,1155.26,370.59
22224,22271.99,369.59,1082.93,1154.26,369.59
22272,22319.99,368.59,1081.93,1153.26,368.59
22320,22367.99,367.59,1080.93,1152.26,367.59
22368,22415.99,366.59,1079.93,1151.26,366.59
22416,22463.99,365.59,1078.93,1150.26,365.59
22464,22511.99,364.59,1077.93,1149.26,364.59
22512,22559.99,363.59,1076.93,1148.26,363.59
22560,22607.99,362.59,1075.93,1147.26,362.59
22608,22655.99,361.59,1074.93,1146.26,361.59
22656,22703.99,360.59,1073.93,1145.26,360.59
22704,22751.99,359.59,1072.93,1144.26,359.59
22752,22799.99,358.59,1071.93,1143.26,358.59
22800,22847.99,357.59,1070.93,1142.26,357.59
22848,22895.99,356.59,1069.93,1141.26,356.59
22896,22943.99,355.59,1068.93,1140.26,355.59
22944,22991.99,354.59,1067.93,1139.26,354.59
22992,23039.99,353.59,1066.93,1138.26,353.59
23040,23087.99,352.59,1065.93,1137.26,352.59
23088,23135.99,351.59,1064.93,1136.26,351.59
23136,23183.99,350.59,1063.93,1135.26,350.59
23184,23231.99,349.59,1062.93,1134.26,349.59
23232,23279.99,348.59,1061.93,1133.26,348.59
23280,23327.99,347.59,1060.93,1132.26,347.59
23328,23375.99,346.59,1059.93,1131.26,346.59
23376,23423.99,345.59,1058.93,1130.26,345.59
23424,23471.99,344.59,1057.93,1129.26,344.59
23472,23519.99,343.59,1056.93,1128.26,343.59
23520,23567.99,342.59,1055.93,1127.26,342.59
23568,23615.99,341.59,1054.93,1126.26,341.59
23616,23663.99,340.59,1053.93,1125.26,340.59
23664,23711.99,339.59,1052.93,1124.26,339.59
23712,23759.99,338.59,1051.93,1123.26,338.59
23760,23807.99,337.59,1050.93,1122.26,337.59
23808,23855.99,336.59,1049.93,1121.26,336.59
23856,23903.99,335.59,1048.93,1120.26,335.59
23904,23951.99,334.59,1047.93,1119.26,334.59
23952,23999.99,333.59,1046.93,1118.26,333.59
24000,24047.99,332.59,1045.93,1117.26,332.59
24048,24095.99,331.59,1044.93,1116.26,331.59
24096,24143.99,330.59,1043.93,1115.26,330.59
24144,24191.99,329.59,1042.93,1114.26,329.59
24192,24239.99,328.59,1041.93,1113.26,328.59
24240,24287.99,327.59,1040.93,1112.26,327.59
24288,24335.99,326.59,1039.93,1111.26,326.59
24336,24383.99,325.59,1038.93,1110.26,325.59
24384,24431.99,324.59,1037.93,1109.26,324.59
24432,24479.99,323.59,1036.93,1108.26,323.59
24480,24527.99,322.59,1035.93,1107.26,322.59
24528,24575.99,321.59,1034.93,1106.26,321.59
24576,24623.99,320.59,1033.93,1105.26,320.59
24624,24671.99,319.59,1032.93,1104.26,319.59
24672,24719.99,318.59,1031.93,1103.26,318.59
24720,24767.99,317.59,1030.93,1102.26,317.59
24768,24815.99,316.59,1029.93,1101.26,316.59
24816,24863.99,315.59,1028.93,1100.26,315.59
24864,24911.99,314.59,1027.93,1099.26,314.59
24912,24959.99,313.59,1026.93,1098.26,313.59
24960,25007.99,312.59,1025.93,1097.26,312.59
25008,25055.99,311.59,1024.93,1096.26,311.59
25056,25103.99,310.59,1023.93,1095.26,310.59
25104,25151.99,309.59,1022.93,1094.26,309.59
25152,25199.99,308.59,1021.93,1093.26,308.59
25200,25247.99,307.59,1020.93,1092.26,307.59
25248,25295.99,306.59,1019.93,1091.26,306.59
25296,25343.99,305.59,1018.93,1090.26,305.59
25344,25391.99,304.59,1017.93,1089.26,304.59
25392,25439.99,303.59,1016.93,1088.26,303.59
25440,25487.99,302.59,1015.93,1087.26,302.59
25488,25535.99,301.59,1014.93,1086.26,301.59
25536,25583.99,300.59,1013.93,1085.26,300.59
25584,25631.99,299.59,1012.93,1084.26,299.59
25632,25679.99,298.59,1011.93,1083.26,298.59
25680,25727.99,297.59,1010.93,1082.26,297.59
25728,25775.99,296.59,1009.93,1081.26,296.59
25776,25823.99,295.59,1008.93,1080.26,295.59
25824,25871.99,294.59,1007.93,1079.26,294.59
25872,25919.99,293.59,1006.93,1078.26,293.59
25920,25967.99,292.59,1005.93,1077.26,292.59
25968,26015.99,291.59,1004.93,1076.26,291.59
26016,26063.99,290.59,1003.93,1075.26,290.59
26064,26111.99,289.59,1002.93,1074.26,289.59
26112,26159.99,288.59,1001.93,1073.26,288.59
26160,26207.99,287.59,1000.93,1072.26,287.59
26208,26255.99,286.59,999.93,1071.26,286.59
26256,26303.99,285.59,998.93,1070.26,285.59
26304,26351.99,284.59,997.93,1069.26,284.59
26352,26399.99,283.59,996.93,1068.26,283.59
26400,26447.99,282.59,995.93,1067.26,282.59
26448,26495.99,281.59,994.93,1066.26,281.59
26496,26543.99,280.59,993.93,1065.26,280.59
26544,26591.99,279.59,992.93,1064.26,279.59
26592,26639.99,278.59,991.93,1063.26,278.59
26640,26687.99,277.59,990.93,1062.26,277.59
26688,26735.99,276.59,989.93,1061.26,276.59
26736,26783.99,275.59,988.93,1060.26,275.59
26784,26831.99,274.59,987.93,1059.26,274.59
26832,26879.99,273.59,986.93,1058.26,273.59
26880,26927.99,272.59,985.93,1057.26,272.59
26928,26975.99,271.59,984.93,1056.26,271.59
26976,27023.99,270.59,983.93,1055.26,270.59
27024,27071.99,269.59,982.93,1054.26,269.59
27072,27119.99,268.59,981.93,1053.26,268.59
27120,27167.99,267.59,980.93,1052.26,267.59
27168,27215.99,266.59,979.93,1051.26,266.59
27216,27263.99,265.59,978.93,1050.26,265.59
27264,27311.99,264.59,977.93,1049.26,264.59
27312,27359.99,263.59,976.93,1048.26,263.59
27360,27407.99,262.59,975.93,1047.26,262.59
27408,27455.99,261.59,974.93,1046.26,261.59
27456,27503.99,260.59,973.93,1045.26,260.59
27504,27551.99,259.59,972.93,1044.26,259.59
27552,27599.99,258.59,971.93,1043.26,258.59
27600,27647.99,257.59,970.93,1042.26,257.59
27648,27695.99,256.59,969.93,1041.26,256.59
27696,27743.99,255.59,968.93,1040.26,255.59
27744,27791.99,254.59,967.93,1039.26,254.59
27792,27839.99,253.59,966.93,1038.26,253.59
27840,27887.99,252.59,965.93,1037.26,252.59
27888,27935.99,251.59,964.93,1036.26,251.59
27936,27983.99,250.59,963.93,1035.26,250.59
27984,28031.99,249.59,962.93,1034.26,249.59
28032,28079.99,248.59,961.93,1033.26,248.59
28080,28127.99,247.59,960.93,1032.26,247.59
28128,28175.99,246.84,960.18,1031.51,246.59
28176,28223.99,246.84,960.18,1031.51,245.59
28224,28271.99,246.84,960.18,1031.51,244.59
28272,28319.99,246.84,960.18,1031.51,243.59
28320,28367.99,246.84,960.18,1031.51,242.59
28368,28415.99,246.84,960.18,1031.51,241.59
28416,28463.99,246.84,960.18,1031.51,240.59
28464,28511.99,246.84,960.18,1031.51,239.59
28512,28559.99,246.84,960.18,1031.51,238.59
28560,28607.99,246.84,960.18,1031.51,237.59
28608,28655.99,246.84,960.18,1031.51,236.59
28656,28703.99,246.84,960.18,1031.51,235.59
28704,28751.99,246.84,960.18,1031.51,234.59
28752,28799.99,246.84,960.18,1031.51,233.59
28800,28847.99,246.84,960.18,1031.51,232.59
28848,28895.99,246.84,960.18,1031.51,231.59
28896,28943.99,246.84,960.18,1031.51,230.59
28944,28991.99,246.84,960.18,1031.51,229.59
28992,29039.99,246.84,960.18,1031.51,228.59
29040,29087.99,246.84,960.18,1031.51,227.59
29088,29135.99,246.84,960.18,1031.51,226.59
29136,29183.99,246.84,960.18,1031.51,225.59
29184,29231.99,246.84,960.18,1031.51,224.59
29232,29279.99,246.84,960.18,1031.51,223.59
29280,29327.99,246.84,960.18,1031.51,222.59
29328,29375.99,246.84,960.18,1031.51,221.59
29376,29423.99,246.84,960.18,1031.51,220.59
29424,29471.99,246.84,960.18,1031.51,219.59
29472,29519.99,246.84,960.18,1031.51,218.59
29520,29567.99,246.84,960.18,1031.51,217.59
29568,29615.99,246.84,960.18,1031.51,216.59
29616,29663.99,246.84,960.18,1031.51,215.59
29664,29711.99,246.84,960.18,1031.51,214.59
29712,29759.99,246.84,960.18,1031.51,213.59
29760,29807.99,246.84,960.18,1031.51,212.59
29808,29855.99,246.84,960.18,1031.51,211.59
29856,29903.99,246.84,960.18,1031.51,210.59
29904,29951.99,246.84,960.18,1031.51,209.59
29952,29999.99,246.84,960.18,1031.51,208.59
30000,30047.99,246.84,960.18,1031.51,207.59
30048,30095.99,246.84,960.18,1031.51,206.59
30096,30143.99,246.84,960.18,1031.51,205.59
30144,30191.99,246.84,960.18,1031.51,204.59
30192,30239.99,246.84,960.18,1031.51,203.59
30240,30287.99,246.84,960.18,1031.51,202.59
30288,30335.99,246.84,960.18,1031.51,201.59
30336,30383.99,246.84,960.18,1031.51,200.59
30384,30431.99,246.84,960.18,1031.51,199.59
30432,30479.99,246.84,960.18,1031.51,198.59
30480,30527.99,246.84,960.18,1031.51,197.59
30528,30575.99,246.84,960.18,1031.51,196.59
30576,30623.99,246.84,960.18,1031.51,195.59
30624,30671.99,246.84,960.18,1031.51,194.59
30672,30719.99,246.84,960.18,1031.51,193.59
30720,30767.99,246.84,960.18,1031.51,192.59
30768,30815.99,246.84,960.18,1031.51,191.59
30816,30863.99,246.84,960.18,1031.51,190.59
30864,30911.99,246.84,960.18,1031.51,189.59
30912,30959.99,246.84,960.18,1031.51,188.59
30960,31007.99,246.84,960.18,1031.51,187.59
31008,31055.99,246.84,960.18,1031.51,186.59
31056,31103.99,246.84,960.18,1031.51,185.59
31104,31151.99,246.84,960.18,1031.51,184.59
31152,31199.99,246.84,960.18,1031.51,183.59
31200,31247.99,246.84,960.18,1031.51,182.59
31248,31295.99,246.84,960.18,1031.51,181.59
31296,31343.99,246.84,960.18,1031.51,180.59
31344,31391.99,246.84,960.18,1031.51,179.59
31392,31439.99,246.84,960.18,1031.51,178.59
31440,31487.99,246.84,960.18,1031.51,177.59
31488,31535.99,246.84,960.18,1031.51,176.59
31536,31583.99,246.84,960.18,1031.51,175.59
31584,31631.99,246.84,960.18,1031.51,174.59
31632,31679.99,246.84,960.18,1031.51,173.59
31680,31727.99,246.84,960.18,1031.51,172.59
31728,31775.99,246.84,960.18,1031.51,171.59
31776,31823.99,246.84,960.18,1031.51,170.59
31824,31871.99,246.84,960.18,1031.51,169.59
31872,31919.99,246.84,960.18,1031.51,168.59
31920,31967.99,246.84,960.18,1031.51,167.59
31968,32015.99,246.84,960.18,1031.51,166.59
32016,32063.99,246.84,960.18,1031.51,165.59
32064,32111.99,246.84,960.18,1031.51,164.59
32112,32159.99,246.84,960.18,1031.51,163.59
32160,32207.99,246.84,960.18,1031.51,162.59
32208,32255.99,246.84,960.18,1031.51,161.59
32256,32303.99,246.84,960.18,1031.51,160.59
32304,32351.99,246.84,960.18,1031.51,159.59
32352,32399.99,246.84,960.18,1031.51,158.59
32400,32447.99,246.84,960.18,1031.51,157.59
32448,32495.99,246.84,960.18,1031.51,156.59
32496,32543.99,246.84,960.18,1031.51,155.59
32544,32591.99,246.84,960.18,1031.51,154.59
32592,32639.99,246.84,960.18,1031.51,153.59
32640,32687.99,246.84,960.18,1031.51,152.59
32688,32735.99,246.84,960.18,1031.51,151.59
32736,32783.99,246.84,960.18,1031.51,150.59
32784,32831.99,246.84,960.18,1031.51,149.59
32832,32879.99,246.84,960.18,1031.51,148.59
32880,32927.99,246.84,960.18,1031.51,147.59
32928,32975.99,246.84,960.18,1031.51,146.59
32976,33023.99,246.84,960.18,1031.51,145.59
33024,33071.99,246.84,960.18,1031.51,144.59
33072,33119.99,246.84,960.18,1031.51,143.59
33120,33167.99,246.84,960.18,1031.51,142.59
33168,33215.99,246.84,960.18,1031.51,141.59
33216,33263.99,246.84,960.18,1031.51,140.59
33264,33311.99,246.84,960.18,1031.51,139.59
33312,33359.99,246.84,960.18,1031.51,138.59
33360,33407.99,246.84,960.18,1031.51,137.59
33408,33455.99,246.84,960.18,1031.51,136.59
33456,33503.99,246.84,960.18,1031.51,135.59
33504,33551.99,246.84,960.18,1031.51,134.59
33552,33599.99,246.84,960.18,1031.51,133.59
33600,33647.99,246.84,960.18,1031.51,132.59
33648,33695.99,246.84,960.18,1031.51,131.59
33696,33743.99,246.84,960.18,1031.51,130.59
33744,33791.99,246.84,960.18,1031.51,129.59
33792,33839.99,246.84,960.18,1031.51,128.59
33840,33887.99,246.84,960.18,1031.51,127.59
33888,33935.99,246.84,960.18,1031.51,126.59
33936,33983.99,246.84,960.18,1031.51,125.59
33984,34031.99,246.84,960.18,1031.51,124.59
34032,34079.99,246.84,960.18,1031.51,123.59
34080,34127.99,246.84,960.18,1031.51,122.59
34128,34175.99,246.84,960.18,1031.51,121.59
34176,34223.99,246.84,960.18,1031.51,120.59
34224,34271.99,246.84,960.18,1031.51,119.59
34272,34319.99,246.84,960.18,1031.51,118.59
34320,34367.99,246.84,960.18,1031.51,117.59
34368,34415.99,246.84,960.18,1031.51,116.59
34416,34463.99,246.84,960.18,1031.51,115.59
34464,34511.99,246.84,960.18,1031.51,114.59
34512,34559.99,246.84,960.18,1031.51,113.59
34560,34607.99,246.84,960.18,1031.51,112.59
34608,34655.99,246.84,960.18,1031.51,111.59
34656,34703.99,246.84,960.18,1031.51,110.59
34704,34751.99,246.84,960.18,1031.51,109.59
34752,34799.99,246.84,960.18,1031.51,108.59
34800,34847.99,246.84,960.18,1031.51,107.59
34848,34895.99,246.84,960.18,1031.51,106.59
34896,34943.99,246.84,960.18,1031.51,105.59
34944,34991.99,246.84,960.18,1031.51,104.59
34992,35039.99,246.84,960.18,1031.51,103.59
35040,35087.99,246.84,960.18,1031.51,102.59
35088,35135.99,246.84,960.18,1031.51,101.59
35136,35183.99,246.84,960.18,1031.51,100.59
35184,35231.99,246.84,960.18,1031.51,99.59
35232,35279.99,246.84,960.18,1031.51,98.59
35280,35327.99,246.84,960.18,1031.51,97.59
35328,35375.99,246.84,960.18,1031.51,96.59
35376,35423.99,246.84,960.18,1031.51,95.59
35424,35471.99,246.84,960.18,1031.51,94.59
35472,35519.99,246.84,960.18,1031.51,93.59
35520,35567.99,246.84,960.18,1031.51,92.59
35568,35615.99,246.84,960.18,1031.51,91.59
35616,35663.99,246.84,960.18,1031.51,90.59
35664,35711.99,246.84,960.18,1031.51,89.59
35712,35759.99,246.84,960.18,1031.51,88.59
35760,35807.99,246.84,960.18,1031.51,87.59
35808,35855.99,246.84,960.18,1031.51,86.59
35856,35903.99,246.84,960.18,1031.51,85.59
35904,35951.99,246.84,960.18,1031.51,84.59
35952,35999.99,246.84,960.18,1031.51,83.59
36000,36047.99,246.84,960.18,1031.51,82.59
36048,36095.99,246.84,960.18,1031.51,81.59
36096,36143.99,246.84,960.18,1031.51,80.59
36144,36191.99,246.84,960.18,1031.51,79.59
36192,36239.99,246.84,960.18,1031.51,78.59
36240,36287.99,246.84,960.18,1031.51,77.59
36288,36335.99,246.84,960.18,1031.51,76.59
36336,36383.99,246.84,960.18,1031.51,75.59
36384,36431.99,246.84,960.18,1031.51,74.59
36432,36479.99,246.84,960.18,1031.51,73.59
36480,36527.99,246.84,960.18,1031.51,72.59
36528,36575.99,246.84,960.18,1031.51,71.59
36576,36623.99,246.84,960.18,1031.51,70.59
36624,36671.99,246.84,960.18,1031.51,69.59
36672,36719.99,246.84,960.18,1031.51,68.59
36720,36767.99,246.84,960.18,1031.51,67.59
36768,36815.99,246.84,960.18,1031.51,66.59
36816,36863.99,246.84,960.18,1031.51,65.59
36864,36911.99,246.84,960.18,1031.51,64.59
36912,36959.99,246.84,960.18,1031.51,63.59
36960,37007.99,246.84,960.18,1031.51,62.59
37008,37055.99,246.84,960.18,1031.51,61.59
37056,37103.99,246.84,960.18,1031.51,60.59
37104,37151.99,246.84,960.18,1031.51,59.59
37152,37199.99,246.84,960.18,1031.51,58.59
37200,37247.99,246.84,960.18,1031.51,57.59
37248,37295.99,246.84,960.18,1031.51,56.59
37296,37343.99,246.84,960.18,1031.51,55.59
37344,37391.99,246.84,960.18,1031.51,54.59
37392,37439.99,246.84,960.18,1031.51,53.59
37440,37487.99,246.84,960.18,1031.51,52.59
37488,37535.99,246.84,960.18,1031.51,51.59
37536,37583.99,246.84,960.18,1031.51,50.59
37584,37631.99,246.84,960.18,1031.51,49.59
37632,37679.99,246.84,960.18,1031.51,48.59
37680,37727.99,246.84,960.18,1031.51,47.59
37728,37775.99,246.84,960.18,1031.51,46.59
37776,37823.99,246.84,960.18,1031.51,45.59
37824,37871.99,246.84,960.18,1031.51,44.59
37872,37919.99,246.84,960.18,1031.51,43.59
37920,37967.99,246.84,960.18,1031.51,42.59
37968,38015.99,246.84,960.18,1031.51,41.59
38016,38063.99,246.84,960.18,1031.51,40.59
38064,38111.99,246.84,960.18,1031.51,39.59
38112,38159.99,246.84,960.18,1031.51,38.59
38160,38207.99,246.84,960.18,1031.51,37.59
38208,38255.99,246.84,960.18,1031.51,36.59
38256,38303.99,246.84,960.18,1031.51,35.59
38304,38351.99,246.84,960.18,1031.51,34.59
38352,38399.99,246.84,960.18,1031.51,33.59
38400,38447.99,246.84,960.18,1031.51,32.59
38448,38495.99,246.84,960.18,1031.51,31.59
38496,38543.99,246.84,960.18,1031.51,30.59
38544,38591.99,246.84,960.18,1031.51,29.59
38592,38639.99,246.84,960.18,1031.51,28.59
38640,38687.99,246.84,960.18,1031.51,27.59
38688,38735.99,246.84,960.18,1031.51,26.59
38736,38783.99,246.84,960.18,1031.51,25.59
38784,38831.99,246.84,960.18,1031.51,24.59
38832,38879.99,246.84,960.18,1031.51,23.59
38880,38927.99,246.84,960.18,1031.51,22.59
38928,38975.99,246.84,960.18,1031.51,21.59
38976,39023.99,246.84,960.18,1031.51,20.59
39024,39071.99,246.84,960.18,1031.51,19.59
39072,39119.99,246.84,960.18,1031.51,18.59
39120,39167.99,246.84,960.18,1031.51,17.59
39168,39215.99,246.84,960.18,1031.51,16.59
39216,39263.99,246.84,960.18,1031.51,15.59
39264,39311.99,246.84,960.18,1031.51,14.59
39312,39359.99,246.84,960.18,1031.51,13.59
39360,39407.99,246.84,960.18,1031.51,12.59
39408,39455.99,246.84,960.18,1031.51,11.59
39456,39503.99,246.84,960.18,1031.51,10.59
39504,39551.99,246.84,960.18,1031.51,9.59
39552,39599.99,246.84,960.18,1031.51,8.59
39600,39647.99,246.84,960.18,1031.51,7.59
39648,39695.99,246.84,960.18,1031.51,6.59
39696,39743.99,246.84,960.18,1031.51,5.59
39744,39791.99,246.84,960.18,1031.51,4.59
39792,39839.99,246.84,960.18,1031.51,3.59
39840,39887.99,246.84,960.18,1031.51,2.59
39888,39935.99,246.84,960.18,1031.51,1.59
39936,39983.99,246.84,960.18,1031.51,0.59
