Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
5536,5567.99,510.35,1223.69,1295.02
5568,5615.99,509.35,1222.69,1294.02
5616,5631.99,508.35,1221.69,1293.02
5632,5663.99,507.35,1220.69,1292.02
5664,5711.99,506.35,1219.69,1291.02
5712,5727.99,505.35,1218.69,1290.02
5728,5759.99,504.35,1217.69,1289.02
5760,5807.99,503.35,1216.69,1288.02
5808,5823.99,502.35,1215.69,1287.02
5824,5855.99,501.35,1214.69,1286.02
5856,5903.99,500.35,1213.69,1285.02
5904,5919.99,499.35,1212.69,1284.02
5920,5951.99,498.35,1211.69,1283.02
5952,5999.99,497.35,1210.69,1282.02
6000,6015.99,496.35,1209.69,1281.02
6016,6047.99,495.35,1208.69,1280.02
6048,6095.99,494.35,1207.69,1279.02
6096,6111.99,493.35,1206.69,1278.02
6112,6143.99,492.35,1205.69,1277.02
6144,6191.99,491.35,1204.69,1276.02
6192,6207.99,490.35,1203.69,1275.02
6208,6239.99,489.35,1202.69,1274.02
6240,6287.99,488.35,1201.69,1273.02
6288,6303.99,487.35,1200.69,1272.02
6304,6335.99,486.35,1199.69,1271.02
6336,6383.99,485.35,1198.69,1270.02
6384,6399.99,484.35,1197.69,1269.02
6400,6431.99,483.35,1196.69,1268.02
6432,6479.99,482.35,1195.69,1267.02
6480,6495.99,481.35,1194.69,1266.02
6496,6527.99,480.35,1193.69,1265.02
6528,6575.99,479.35,1192.69,1264.02
6576,6591.99,478.35,1191.69,1263.02
6592,6623.99,477.35,1190.69,1262.02
6624,6671.99,476.35,1189.69,1261.02
6672,6687.99,475.35,1188.69,1260.02
6688,6719.99,474.35,1187.69,1259.02
6720,6767.99,473.35,1186.69,1258.02
6768,6783.99,472.35,1185.69,1257.02
6784,6815.99,471.35,1184.69,1256.02
6816,6863.99,470.35,1183.69,1255.02
6864,6879.99,469.35,1182.69,1254.02
6880,6911.99,468.35,1181.69,1253.02
6912,6959.99,467.35,1180.69,1252.02
6960,6975.99,466.35,1179.69,1251.02
6976,7007.99,465.35,1178.69,1250.02
7008,7055.99,464.35,1177.69,1249.02
7056,7071.99,463.35,1176.69,1248.02
7072,7103.99,462.35,1175.69,1247.02
7104,7151.99,461.35,1174.69,1246.02
7152,7167.99,460.35,1173.69,1245.02
7168,7199.99,459.35,1172.69,1244.02
7200,7247.99,458.35,1171.69,1243.02
7248,7263.99,457.35,1170.69,1242.02
7264,7295.99,456.35,1169.69,1241.02
7296,7343.99,455.35,1168.69,1240.02
7344,7359.99,454.35,1167.69,1239.02
7360,7391.99,453.35,1166.69,1238.02
7392,7439.99,452.35,1165.69,1237.02
7440,7455.99,451.35,1164.69,1236.02
7456,7487.99,450.35,1163.69,1235.02
7488,7535.99,449.35,1162.69,1234.02
7536,7551.99,448.35,1161.69,1233.02
7552,7583.99,447.35,1160.69,1232.02
7584,7631.99,446.35,1159.69,1231.02
7632,7647.99,445.35,1158.69,1230.02
7648,7679.99,444.35,1157.69,1229.02
7680,7727.99,443.35,1156.69,1228.02
7728,7743.99,442.35,1155.69,1227.02
7744,7775.99,441.35,1154.69,1226.02
7776,7823.99,440.35,1153.69,1225.02
7824,7839.99,439.35,1152.69,1224.02
7840,7871.99,438.35,1151.69,1223.02
7872,7919.99,437.35,1150.69,1222.02
7920,7935.99,436.35,1149.69,1221.02
7936,7967.99,435.35,1148.69,1220.02
7968,8015.99,434.35,1147.69,1219.02
8016,8031.99,433.35,1146.69,1218.02
8032,8063.99,432.35,1145.69,1217.02
8064,8111.99,431.35,1144.69,1216.02
8112,8127.99,430.35,1143.69,1215.02
8128,8159.99,429.35,1142.69,1214.02
8160,8207.99,428.35,1141.69,1213.02
8208,8223.99,427.35,1140.69,1212.02
8224,8255.99,426.35,1139.69,1211.02
8256,8303.99,425.35,1138.69,1210.02
8304,8319.99,424.35,1137.69,1209.02
8320,8351.99,423.35,1136.69,1208.02
8352,8399.99,422.35,1135.69,1207.02
8400,8415.99,421.35,1134.69,1206.02
8416,8447.99,420.35,1133.69,1205.02
8448,8495.99,419.35,1132.69,1204.02
8496,8511.99,418.35,1131.69,1203.02
8512,8543.99,417.59,1130.93,1202.26
8544,8591.99,416.59,1129.93,1201.26
8592,8639.99,415.59,1128.93,1200.26
8640,8687.99,414.59,1127.93,1199.26
8688,8735.99,413.59,1126.93,1198.26
8736,8783.99,412.59,1125.93,1197.26
8784,8831.99,411.59,1124.93,1196.26
8832,8879.99,410.59,1123.93,1195.26
8880,8927.99,409.59,1122.93,1194.26
8928,8975.99,408.59,1121.93,1193.26
8976,9023.99,407.59,1120.93,1192.26
9024,9071.99,406.59,1119.93,1191.26
9072,9119.99,405.59,1118.93,1190.26
9120,9167.99,404.59,1117.93,1189.26
9168,9215.99,403.59,1116.93,1188.26
9216,9263.99,402.59,1115.93,1187.26
9264,9311.99,401.59,1114.93,1186.26
9312,9359.99,400.59,1113.93,1185.26
9360,9407.99,399.59,1112.93,1184.26
9408,9455.99,398.59,1111.93,1183.26
9456,9503.99,397.59,1110.93,1182.26
9504,9551.99,396.59,1109.93,1181.26
9552,9599.99,395.59,1108.93,1180.26
9600,9647.99,394.59,1107.93,1179.26
9648,9695.99,393.59,1106.93,1178.26
9696,9743.99,392.59,1105.93,1177.26
9744,9791.99,391.59,1104.93,1176.26
9792,9839.99,390.59,1103.93,1175.26
9840,9887.99,389.59,1102.93,1174.26
9888,9935.99,388.59,1101.93,1173.26
9936,9983.99,387.59,1100.93,1172.26
9984,10031.99,386.59,1099.93,1171.26
10032,10079.99,385.59,1098.93,1170.26
10080,10127.99,384.59,1097.93,1169.26
10128,10175.99,383.59,1096.93,1168.26
10176,10223.99,382.59,1095.93,1167.26
10224,10271.99,381.59,1094.93,1166.26
10272,10319.99,380.59,1093.93,1165.26
10320,10367.99,379.59,1092.93,1164.26
10368,10415.99,378.59,1091.93,1163.26
10416,10463.99,377.59,1090.93,1162.26
10464,10511.99,376.59,1089.93,1161.26
10512,10559.99,375.59,1088.93,1160.26
10560,10607.99,374.59,1087.93,1159.26
10608,10655.99,373.59,1086.93,1158.26
10656,10703.99,372.59,1085.93,1157.26
10704,10751.99,371.59,1084.93,1156.26
10752,10799.99,370.59,1083.93,1155.26
10800,10847.99,369.59,1082.93,1154.26
10848,10895.99,368.59,1081.93,1153.26
10896,10943.99,367.59,1080.93,1152.26
10944,10991.99,366.59,1079.93,1151.26
10992,11039.99,365.59,1078.93,1150.26
11040,11087.99,364.59,1077.93,1149.26
11088,11135.99,363.59,1076.93,1148.26
11136,11183.99,362.59,1075.93,1147.26
11184,11231.99,361.59,1074.93,1146.26
11232,11279.99,360.59,1073.93,1145.26
11280,11327.99,359.59,1072.93,1144.26
11328,11375.99,358.59,1071.93,1143.26
11376,11423.99,357.59,1070.93,1142.26
11424,11471.99,356.59,1069.93,1141.26
11472,11519.99,355.59,1068.93,1140.26
11520,11567.99,354.59,1067.93,1139.26
11568,11615.99,353.59,1066.93,1138.26
11616,11663.99,352.59,1065.93,1137.26
11664,11711.99,351.59,1064.93,1136.26
11712,11759.99,350.59,1063.93,1135.26
11760,11807.99,349.59,1062.93,1134.26
11808,11855.99,348.59,1061.93,1133.26
11856,11903.99,347.59,1060.93,1132.26
11904,11951.99,346.59,1059.93,1131.26
11952,11999.99,345.59,1058.93,1130.26
12000,12047.99,344.59,1057.93,1129.26
12048,12095.99,343.59,1056.93,1128.26
12096,12143.99,342.59,1055.93,1127.26
12144,12191.99,341.59,1054.93,1126.26
12192,12239.99,340.59,1053.93,1125.26
12240,12287.99,339.59,1052.93,1124.26
12288,12335.99,338.59,1051.93,1123.26
12336,12383.99,337.59,1050.93,1122.26
12384,12431.99,336.59,1049.93,1121.26
12432,12479.99,335.59,1048.93,1120.26
12480,12527.99,334.59,1047.93,1119.26
12528,12575.99,333.59,1046.93,1118.26
12576,12623.99,332.59,1045.93,1117.26
12624,12671.99,331.59,1044.93,1116.26
12672,12719.99,330.59,1043.93,1115.26
12720,12767.99,329.59,1042.93,1114.26
12768,12815.99,328.59,1041.93,1113.26
12816,12863.99,327.59,1040.93,1112.26
12864,12911.99,326.59,1039.93,1111.26
12912,12959.99,325.59,1038.93,1110.26
12960,13007.99,324.59,1037.93,1109.26
13008,13055.99,323.59,1036.93,1108.26
13056,13103.99,322.59,1035.93,1107.26
13104,13151.99,321.59,1034.93,1106.26
13152,13199.99,320.59,1033.93,1105.26
13200,13247.99,319.59,1032.93,1104.26
13248,13295.99,318.59,1031.93,1103.26
13296,13343.99,317.59,1030.93,1102.26
