Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
11104,11135.99,939.47,1652.81,1724.14
11136,11183.99,938.47,1651.81,1723.14
11184,11199.99,937.47,1650.81,1722.14
11200,11231.99,936.47,1649.81,1721.14
11232,11279.99,935.47,1648.81,1720.14
11280,11295.99,934.47,1647.81,1719.14
11296,11327.99,933.47,1646.81,1718.14
11328,11375.99,932.47,1645.81,1717.14
11376,11391.99,931.47,1644.81,1716.14
11392,11423.99,930.47,1643.81,1715.14
11424,11471.99,929.47,1642.81,1714.14
11472,11487.99,928.47,1641.81,1713.14
11488,11519.99,927.47,1640.81,1712.14
11520,11567.99,926.47,1639.81,1711.14
11568,11583.99,925.47,1638.81,1710.14
11584,11615.99,924.47,1637.81,1709.14
11616,11663.99,923.47,1636.81,1708.14
11664,11679.99,922.47,1635.81,1707.14
11680,11711.99,921.47,1634.81,1706.14
11712,11759.99,920.47,1633.81,1705.14
11760,11775.99,919.47,1632.81,1704.14
11776,11807.99,918.47,1631.81,1703.14
11808,11855.99,917.47,1630.81,1702.14
11856,11871.99,916.47,1629.81,1701.14
11872,11903.99,915.47,1628.81,1700.14
11904,11951.99,914.47,1627.81,1699.14
11952,11967.99,913.47,1626.81,1698.14
11968,11999.99,912.47,1625.81,1697.14
12000,12047.99,911.47,1624.81,1696.14
12048,12063.99,910.47,1623.81,1695.14
12064,12095.99,909.47,1622.81,1694.14
