Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
26448,26495.99,528.43,1241.77,1313.1
26496,26543.99,527.43,1240.77,1312.1
26544,26591.99,526.43,1239.77,1311.1
26592,26639.99,525.43,1238.77,1310.1
26640,26687.99,524.43,1237.77,1309.1
26688,26735.99,523.43,1236.77,1308.1
26736,26783.99,522.43,1235.77,1307.1
26784,26831.99,521.43,1234.77,1306.1
26832,26879.99,520.43,1233.77,1305.1
26880,26927.99,519.43,1232.77,1304.1
26928,26975.99,518.43,1231.77,1303.1
26976,27023.99,517.43,1230.77,1302.1
27024,27071.99,516.43,1229.77,1301.1
27072,27119.99,515.43,1228.77,1300.1
27120,27167.99,514.43,1227.77,1299.1
27168,27215.99,513.43,1226.77,1298.1
27216,27263.99,512.43,1225.77,1297.1
27264,27311.99,511.43,1224.77,1296.1
27312,27359.99,510.43,1223.77,1295.1
27360,27407.99,509.43,1222.77,1294.1
27408,27455.99,508.43,1221.77,1293.1
27456,27503.99,507.43,1220.77,1292.1
27504,27551.99,506.43,1219.77,1291.1
27552,27599.99,505.43,1218.77,1290.1
27600,27647.99,504.43,1217.77,1289.1
27648,27695.99,503.43,1216.77,1288.1
27696,27743.99,502.43,1215.77,1287.1
27744,27791.99,501.43,1214.77,1286.1
27792,27839.99,500.43,1213.77,1285.1
27840,27887.99,499.43,1212.77,1284.1
27888,27935.99,498.43,1211.77,1283.1
27936,27983.99,497.43,1210.77,1282.1
27984,28031.99,496.43,1209.77,1281.1
28032,28079.99,495.43,1208.77,1280.1
28080,28127.99,494.43,1207.77,1279.1
28128,28175.99,493.43,1206.77,1278.1
28176,28223.99,492.43,1205.77,1277.1
28224,28271.99,491.43,1204.77,1276.1
28272,28319.99,490.43,1203.77,1275.1
28320,28367.99,489.43,1202.77,1274.1
28368,28415.99,488.43,1201.77,1273.1
28416,28463.99,487.43,1200.77,1272.1
28464,28511.99,486.43,1199.77,1271.1
28512,28559.99,485.43,1198.77,1270.1
28560,28607.99,484.43,1197.77,1269.1
28608,28655.99,483.43,1196.77,1268.1
28656,28703.99,482.43,1195.77,1267.1
28704,28751.99,481.43,1194.77,1266.1
28752,28799.99,480.43,1193.77,1265.1
28800,28847.99,479.43,1192.77,1264.1
28848,28895.99,478.43,1191.77,1263.1
28896,28943.99,477.43,1190.77,1262.1
28944,28991.99,476.43,1189.77,1261.1
28992,29039.99,475.43,1188.77,1260.1
29040,29087.99,474.43,1187.77,1259.1
29088,29135.99,473.43,1186.77,1258.1
29136,29183.99,472.43,1185.77,1257.1
29184,29231.99,471.43,1184.77,1256.1
29232,29279.99,470.43,1183.77,1255.1
29280,29327.99,469.43,1182.77,1254.1
29328,29375.99,468.43,1181.77,1253.1
29376,29423.99,467.43,1180.77,1252.1
29424,29471.99,466.43,1179.77,1251.1
29472,29519.99,465.43,1178.77,1250.1
29520,29567.99,464.43,1177.77,1249.1
29568,29615.99,463.43,1176.77,1248.1
29616,29663.99,462.43,1175.77,1247.1
29664,29711.99,461.43,1174.77,1246.1
29712,29759.99,460.43,1173.77,1245.1
29760,29807.99,459.43,1172.77,1244.1
29808,29855.99,458.43,1171.77,1243.1
29856,29903.99,457.43,1170.77,1242.1
29904,29951.99,456.43,1169.77,1241.1
29952,29999.99,455.43,1168.77,1240.1
30000,30047.99,454.43,1167.77,1239.1
30048,30095.99,453.43,1166.77,1238.1
30096,30143.99,452.43,1165.77,1237.1
30144,30191.99,451.43,1164.77,1236.1
30192,30239.99,450.43,1163.77,1235.1
30240,30287.99,449.43,1162.77,1234.1
30288,30335.99,448.43,1161.77,1233.1
30336,30383.99,447.43,1160.77,1232.1
30384,30431.99,446.43,1159.77,1231.1
30432,30479.99,445.43,1158.77,1230.1
30480,30527.99,444.43,1157.77,1229.1
30528,30575.99,443.43,1156.77,1228.1
30576,30623.99,442.43,1155.77,1227.1
30624,30671.99,441.43,1154.77,1226.1
30672,30719.99,440.43,1153.77,1225.1
30720,30767.99,439.43,1152.77,1224.1
30768,30815.99,438.43,1151.77,1223.1
30816,30863.99,437.43,1150.77,1222.1
30864,30911.99,436.43,1149.77,1221.1
30912,30959.99,435.43,1148.77,1220.1
30960,31007.99,434.43,1147.77,1219.1
31008,31055.99,433.43,1146.77,1218.1
31056,31103.99,432.43,1145.77,1217.1
31104,31151.99,431.43,1144.77,1216.1
31152,31199.99,430.43,1143.77,1215.1
31200,31247.99,429.43,1142.77,1214.1
31248,31295.99,428.43,1141.77,1213.1
31296,31343.99,427.43,1140.77,1212.1
31344,31391.99,426.43,1139.77,1211.1
31392,31439.99,425.43,1138.77,1210.1
31440,31487.99,424.43,1137.77,1209.1
31488,31535.99,423.43,1136.77,1208.1
31536,31583.99,422.43,1135.77,1207.1
31584,31631.99,421.43,1134.77,1206.1
31632,31679.99,420.43,1133.77,1205.1
31680,31727.99,419.43,1132.77,1204.1
31728,31775.99,418.43,1131.77,1203.1
31776,31823.99,417.43,1130.77,1202.1
31824,31871.99,416.43,1129.77,1201.1
31872,31919.99,415.43,1128.77,1200.1
31920,31967.99,414.43,1127.77,1199.1
31968,32015.99,413.43,1126.77,1198.1
32016,32063.99,412.43,1125.77,1197.1
32064,32111.99,411.43,1124.77,1196.1
32112,32159.99,410.43,1123.77,1195.1
32160,32207.99,409.43,1122.77,1194.1
32208,32255.99,408.43,1121.77,1193.1
32256,32303.99,407.43,1120.77,1192.1
32304,32351.99,406.43,1119.77,1191.1
32352,32399.99,405.43,1118.77,1190.1
32400,32447.99,404.43,1117.77,1189.1
32448,32495.99,403.43,1116.77,1188.1
32496,32543.99,402.43,1115.77,1187.1
32544,32591.99,401.43,1114.77,1186.1
32592,32639.99,400.43,1113.77,1185.1
32640,32687.99,399.43,1112.77,1184.1
32688,32735.99,398.43,1111.77,1183.1
32736,32783.99,397.43,1110.77,1182.1
32784,32831.99,396.43,1109.77,1181.1
32832,32879.99,395.43,1108.77,1180.1
32880,32927.99,394.43,1107.77,1179.1
32928,32975.99,393.43,1106.77,1178.1
32976,33023.99,392.43,1105.77,1177.1
33024,33071.99,391.43,1104.77,1176.1
33072,33119.99,390.43,1103.77,1175.1
33120,33167.99,389.43,1102.77,1174.1
33168,33215.99,388.43,1101.77,1173.1
33216,33263.99,387.43,1100.77,1172.1
33264,33311.99,386.43,1099.77,1171.1
33312,33359.99,385.43,1098.77,1170.1
33360,33407.99,384.43,1097.77,1169.1
33408,33455.99,383.43,1096.77,1168.1
33456,33503.99,382.43,1095.77,1167.1
33504,33551.99,381.43,1094.77,1166.1
33552,33599.99,380.43,1093.77,1165.1
33600,33647.99,379.43,1092.77,1164.1
33648,33695.99,378.43,1091.77,1163.1
33696,33743.99,377.43,1090.77,1162.1
33744,33791.99,376.43,1089.77,1161.1
33792,33839.99,375.43,1088.77,1160.1
33840,33887.99,374.43,1087.77,1159.1
33888,33935.99,373.43,1086.77,1158.1
33936,33983.99,372.43,1085.77,1157.1
33984,34031.99,371.43,1084.77,1156.1
34032,34079.99,370.43,1083.77,1155.1
34080,34127.99,369.43,1082.77,1154.1
34128,34175.99,368.43,1081.77,1153.1
34176,34223.99,367.43,1080.77,1152.1
34224,34271.99,366.43,1079.77,1151.1
34272,34319.99,365.43,1078.77,1150.1
34320,34367.99,364.43,1077.77,1149.1
34368,34415.99,363.43,1076.77,1148.1
34416,34463.99,362.43,1075.77,1147.1
34464,34511.99,361.43,1074.77,1146.1
34512,34559.99,360.43,1073.77,1145.1
34560,34607.99,359.43,1072.77,1144.1
34608,34655.99,358.43,1071.77,1143.1
34656,34703.99,357.43,1070.77,1142.1
34704,34751.99,356.43,1069.77,1141.1
34752,34799.99,355.43,1068.77,1140.1
34800,34847.99,354.43,1067.77,1139.1
34848,34895.99,353.43,1066.77,1138.1
34896,34943.99,352.43,1065.77,1137.1
34944,34991.99,351.43,1064.77,1136.1
34992,35039.99,350.43,1063.77,1135.1
35040,35087.99,349.43,1062.77,1134.1
35088,35135.99,348.43,1061.77,1133.1
35136,35183.99,347.43,1060.77,1132.1
35184,35231.99,346.43,1059.77,1131.1
35232,35279.99,345.43,1058.77,1130.1
35280,35327.99,344.43,1057.77,1129.1
35328,35375.99,343.43,1056.77,1128.1
35376,35423.99,342.43,1055.77,1127.1
35424,35471.99,341.43,1054.77,1126.1
35472,35519.99,340.43,1053.77,1125.1
35520,35567.99,339.43,1052.77,1124.1
35568,35615.99,338.43,1051.77,1123.1
35616,35663.99,337.43,1050.77,1122.1
35664,35711.99,336.43,1049.77,1121.1
35712,35759.99,335.43,1048.77,1120.1
35760,35807.99,334.43,1047.77,1119.1
35808,35855.99,333.43,1046.77,1118.1
35856,35903.99,332.43,1045.77,1117.1
35904,35951.99,331.43,1044.77,1116.1
35952,35999.99,330.43,1043.77,1115.1
36000,36047.99,329.43,1042.77,1114.1
36048,36095.99,328.43,1041.77,1113.1
36096,36143.99,327.43,1040.77,1112.1
36144,36191.99,326.43,1039.77,1111.1
36192,36239.99,325.43,1038.77,1110.1
36240,36287.99,324.43,1037.77,1109.1
36288,36335.99,323.43,1036.77,1108.1
36336,36383.99,322.43,1035.77,1107.1
36384,36431.99,321.43,1034.77,1106.1
36432,36479.99,320.43,1033.77,1105.1
36480,36527.99,319.43,1032.77,1104.1
36528,36575.99,318.43,1031.77,1103.1
36576,36623.99,317.43,1030.77,1102.1
36624,36671.99,316.43,1029.77,1101.1
36672,36719.99,315.43,1028.77,1100.1
36720,36767.99,314.43,1027.77,1099.1
36768,36815.99,313.43,1026.77,1098.1
36816,36863.99,312.43,1025.77,1097.1
36864,36911.99,311.43,1024.77,1096.1
36912,36959.99,310.43,1023.77,1095.1
36960,37007.99,309.43,1022.77,1094.1
37008,37055.99,308.43,1021.77,1093.1
37056,37103.99,307.43,1020.77,1092.1
37104,37151.99,306.43,1019.77,1091.1
37152,37199.99,305.43,1018.77,1090.1
37200,37247.99,304.43,1017.77,1089.1
37248,37295.99,303.43,1016.77,1088.1
37296,37343.99,302.43,1015.77,1087.1
37344,37391.99,301.43,1014.77,1086.1
37392,37439.99,300.43,1013.77,1085.1
37440,37487.99,299.43,1012.77,1084.1
37488,37535.99,298.43,1011.77,1083.1
37536,37583.99,297.43,1010.77,1082.1
37584,37631.99,296.43,1009.77,1081.1
37632,37679.99,295.43,1008.77,1080.1
37680,37727.99,294.43,1007.77,1079.1
37728,37775.99,293.43,1006.77,1078.1
37776,37823.99,292.43,1005.77,1077.1
37824,37871.99,291.43,1004.77,1076.1
37872,37919.99,290.43,1003.77,1075.1
37920,37967.99,289.43,1002.77,1074.1
37968,38015.99,288.43,1001.77,1073.1
38016,38063.99,287.43,1000.77,1072.1
38064,38111.99,286.43,999.77,1071.1
38112,38159.99,285.43,998.77,1070.1
38160,38207.99,284.43,997.77,1069.1
38208,38255.99,283.43,996.77,1068.1
38256,38303.99,282.43,995.77,1067.1
38304,38351.99,281.43,994.77,1066.1
38352,38399.99,280.43,993.77,1065.1
38400,38447.99,279.43,992.77,1064.1
38448,38495.99,278.43,991.77,1063.1
38496,38543.99,277.43,990.77,1062.1
38544,38591.99,276.43,989.77,1061.1
38592,38639.99,275.43,988.77,1060.1
38640,38687.99,274.43,987.77,1059.1
38688,38735.99,273.43,986.77,1058.1
38736,38783.99,272.43,985.77,1057.1
38784,38831.99,271.43,984.77,1056.1
38832,38879.99,270.43,983.77,1055.1
38880,38927.99,269.43,982.77,1054.1
38928,38975.99,268.43,981.77,1053.1
38976,39023.99,267.43,980.77,1052.1
39024,39071.99,266.43,979.77,1051.1
39072,39119.99,265.43,978.77,1050.1
39120,39167.99,264.43,977.77,1049.1
39168,39215.99,263.43,976.77,1048.1
39216,39263.99,262.43,975.77,1047.1
39264,39311.99,261.43,974.77,1046.1
39312,39359.99,260.43,973.77,1045.1
39360,39407.99,259.43,972.77,1044.1
39408,39455.99,258.43,971.77,1043.1
39456,39503.99,257.43,970.77,1042.1
39504,39551.99,256.43,969.77,1041.1
39552,39599.99,255.43,968.77,1040.1
39600,39647.99,254.43,967.77,1039.1
39648,39695.99,253.43,966.77,1038.1
39696,39743.99,252.43,965.77,1037.1
39744,39791.99,251.43,964.77,1036.1
39792,39839.99,250.43,963.77,1035.1
39840,39887.99,249.43,962.77,1034.1
39888,39935.99,248.43,961.77,1033.1
39936,39983.99,247.43,960.77,1032.1
39984,40031.99,246.43,959.77,1031.1
40032,40079.99,245.43,958.77,1030.1
40080,40127.99,244.43,957.77,1029.1
40128,40175.99,243.43,956.77,1028.1
40176,40223.99,242.43,955.77,1027.1
40224,40271.99,241.43,954.77,1026.1
40272,40319.99,240.43,953.77,1025.1
40320,40367.99,239.43,952.77,1024.1
40368,40415.99,238.43,951.77,1023.1
40416,40463.99,237.43,950.77,1022.1
40464,40511.99,236.43,949.77,1021.1
40512,40559.99,235.43,948.77,1020.1
40560,40607.99,234.43,947.77,1019.1
40608,40655.99,233.43,946.77,1018.1
40656,40703.99,232.43,945.77,1017.1
40704,40751.99,231.43,944.77,1016.1
40752,40799.99,230.43,943.77,1015.1
40800,40847.99,229.43,942.77,1014.1
40848,40895.99,228.43,941.77,1013.1
40896,40943.99,227.43,940.77,1012.1
40944,40991.99,226.43,939.77,1011.1
40992,41039.99,225.43,938.77,1010.1
41040,41087.99,224.43,937.77,1009.1
41088,41135.99,223.43,936.77,1008.1
41136,41183.99,222.43,935.77,1007.1
41184,41231.99,221.43,934.77,1006.1
41232,41279.99,220.43,933.77,1005.1
41280,41327.99,219.43,932.77,1004.1
41328,41375.99,218.43,931.77,1003.1
41376,41423.99,217.43,930.77,1002.1
41424,41471.99,216.43,929.77,1001.1
41472,41519.99,215.43,928.77,1000.1
41520,41567.99,214.43,927.77,999.1
41568,41615.99,213.43,926.77,998.1
41616,41663.99,212.43,925.77,997.1
41664,41711.99,211.43,924.77,996.1
41712,41759.99,210.43,923.77,995.1
41760,41807.99,209.43,922.77,994.1
41808,41855.99,208.43,921.77,993.1
41856,41903.99,207.43,920.77,992.1
41904,41951.99,206.43,919.77,991.1
41952,41999.99,205.43,918.77,990.1
42000,42047.99,204.43,917.77,989.1
42048,42095.99,203.43,916.77,988.1
42096,42143.99,202.43,915.77,987.1
42144,42191.99,201.43,914.77,986.1
42192,42239.99,200.43,913.77,985.1
42240,42287.99,199.43,912.77,984.1
42288,42335.99,198.43,911.77,983.1
42336,42383.99,197.43,910.77,982.1
42384,42431.99,196.43,909.77,981.1
42432,42479.99,195.43,908.77,980.1
42480,42527.99,194.43,907.77,979.1
42528,42575.99,193.43,906.77,978.1
42576,42623.99,192.43,905.77,977.1
42624,42671.99,191.43,904.77,976.1
42672,42719.99,190.43,903.77,975.1
42720,42767.99,189.43,902.77,974.1
42768,42815.99,188.43,901.77,973.1
42816,42863.99,187.43,900.77,972.1
42864,42911.99,186.43,899.77,971.1
42912,42959.99,185.43,898.77,970.1
42960,43007.99,184.43,897.77,969.1
43008,43055.99,183.43,896.77,968.1
43056,43103.99,182.43,895.77,967.1
43104,43151.99,181.43,894.77,966.1
43152,43199.99,180.43,893.77,965.1
43200,43247.99,179.43,892.77,964.1
43248,43295.99,178.43,891.77,963.1
43296,43343.99,177.43,890.77,962.1
43344,43391.99,176.43,889.77,961.1
43392,43439.99,175.43,888.77,960.1
43440,43487.99,174.43,887.77,959.1
43488,43535.99,173.43,886.77,958.1
43536,43583.99,172.43,885.77,957.1
43584,43631.99,171.43,884.77,956.1
43632,43679.99,170.43,883.77,955.1
43680,43727.99,169.43,882.77,954.1
43728,43775.99,168.43,881.77,953.1
43776,43823.99,167.43,880.77,952.1
43824,43871.99,166.43,879.77,951.1
43872,43919.99,165.43,878.77,950.1
43920,43967.99,164.43,877.77,949.1
43968,44015.99,163.43,876.77,948.1
44016,44063.99,162.43,875.77,947.1
44064,44111.99,161.43,874.77,946.1
44112,44159.99,160.43,873.77,945.1
44160,44207.99,159.43,872.77,944.1
44208,44255.99,158.43,871.77,943.1
44256,44303.99,157.43,870.77,942.1
44304,44351.99,156.43,869.77,941.1
44352,44399.99,155.43,868.77,940.1
44400,44447.99,154.43,867.77,939.1
44448,44495.99,153.43,866.77,938.1
44496,44543.99,152.43,865.77,937.1
44544,44591.99,151.43,864.77,936.1
44592,44639.99,150.43,863.77,935.1
44640,44687.99,149.43,862.77,934.1
44688,44735.99,148.43,861.77,933.1
44736,44783.99,147.43,860.77,932.1
44784,44831.99,146.43,859.77,931.1
44832,44879.99,145.43,858.77,930.1
44880,44927.99,144.43,857.77,929.1
44928,44975.99,143.43,856.77,928.1
44976,45023.99,142.43,855.77,927.1
45024,45071.99,141.43,854.77,926.1
45072,45119.99,140.43,853.77,925.1
45120,45167.99,139.43,852.77,924.1
45168,45215.99,138.43,851.77,923.1
45216,45263.99,137.43,850.77,922.1
45264,45311.99,136.43,849.77,921.1
45312,45359.99,135.43,848.77,920.1
45360,45407.99,134.43,847.77,919.1
45408,45455.99,133.43,846.77,918.1
45456,45503.99,132.43,845.77,917.1
45504,45551.99,131.43,844.77,916.1
45552,45599.99,130.43,843.77,915.1
45600,45647.99,129.43,842.77,914.1
45648,45695.99,128.43,841.77,913.1
45696,45743.99,127.43,840.77,912.1
45744,45791.99,126.43,839.77,911.1
45792,45839.99,125.43,838.77,910.1
45840,45887.99,124.43,837.77,909.1
45888,45935.99,123.43,836.77,908.1
45936,45983.99,122.43,835.77,907.1
45984,46031.99,121.43,834.77,906.1
46032,46079.99,120.43,833.77,905.1
46080,46127.99,119.43,832.77,904.1
46128,46175.99,118.43,831.77,903.1
46176,46223.99,117.43,830.77,902.1
46224,46271.99,116.43,829.77,901.1
46272,46319.99,115.43,828.77,900.1
46320,46367.99,114.43,827.77,899.1
46368,46415.99,113.43,826.77,898.1
46416,46463.99,112.43,825.77,897.1
46464,46511.99,111.43,824.77,896.1
46512,46559.99,110.43,823.77,895.1
46560,46607.99,109.43,822.77,894.1
46608,46655.99,108.43,821.77,893.1
46656,46703.99,107.43,820.77,892.1
46704,46751.99,106.43,819.77,891.1
46752,46799.99,105.43,818.77,890.1
46800,46847.99,104.43,817.77,889.1
46848,46895.99,103.43,816.77,888.1
46896,46943.99,102.43,815.77,887.1
46944,46991.99,101.43,814.77,886.1
46992,47039.99,100.43,813.77,885.1
47040,47087.99,99.43,812.77,884.1
47088,47135.99,98.43,811.77,883.1
47136,47183.99,97.43,810.77,882.1
47184,47231.99,96.43,809.77,881.1
47232,47279.99,95.43,808.77,880.1
47280,47327.99,94.43,807.77,879.1
47328,47375.99,93.43,806.77,878.1
47376,47423.99,92.43,805.77,877.1
47424,47471.99,91.43,804.77,876.1
47472,47519.99,90.43,803.77,875.1
47520,47567.99,89.43,802.77,874.1
47568,47615.99,88.43,801.77,873.1
47616,47663.99,87.43,800.77,872.1
47664,47711.99,86.43,799.77,871.1
47712,47759.99,85.43,798.77,870.1
47760,47807.99,84.43,797.77,869.1
47808,47855.99,83.43,796.77,868.1
47856,47903.99,82.43,795.77,867.1
47904,47951.99,81.43,794.77,866.1
47952,47999.99,80.43,793.77,865.1
48000,48047.99,79.43,792.77,864.1
48048,48095.99,78.43,791.77,863.1
48096,48143.99,77.43,790.77,862.1
48144,48191.99,76.43,789.77,861.1
48192,48239.99,75.43,788.77,860.1
48240,48287.99,74.43,787.77,859.1
48288,48335.99,73.43,786.77,858.1
48336,48383.99,72.43,785.77,857.1
48384,48431.99,71.43,784.77,856.1
48432,48479.99,70.43,783.77,855.1
48480,48527.99,69.43,782.77,854.1
48528,48575.99,68.43,781.77,853.1
48576,48623.99,67.43,780.77,852.1
48624,48671.99,66.43,779.77,851.1
48672,48719.99,65.43,778.77,850.1
48720,48767.99,64.43,777.77,849.1
48768,48815.99,63.43,776.77,848.1
48816,48863.99,62.43,775.77,847.1
48864,48911.99,61.43,774.77,846.1
48912,48959.99,60.43,773.77,845.1
48960,49007.99,59.43,772.77,844.1
49008,49055.99,58.43,771.77,843.1
49056,49103.99,57.43,770.77,842.1
49104,49151.99,56.43,769.77,841.1
49152,49199.99,55.43,768.77,840.1
49200,49247.99,54.43,767.77,839.1
49248,49295.99,53.43,766.77,838.1
49296,49343.99,52.43,765.77,837.1
49344,49391.99,51.43,764.77,836.1
49392,49439.99,50.43,763.77,835.1
49440,49487.99,49.43,762.77,834.1
49488,49535.99,48.43,761.77,833.1
49536,49583.99,47.43,760.77,832.1
49584,49631.99,46.43,759.77,831.1
49632,49679.99,45.43,758.77,830.1
49680,49727.99,44.43,757.77,829.1
49728,49775.99,43.43,756.77,828.1
49776,49823.99,42.43,755.77,827.1
49824,49871.99,41.43,754.77,826.1
49872,49919.99,40.43,753.77,825.1
49920,49967.99,39.43,752.77,824.1
49968,50015.99,38.43,751.77,823.1
50016,50063.99,37.43,750.77,822.1
50064,50111.99,36.43,749.77,821.1
50112,50159.99,35.43,748.77,820.1
50160,50207.99,34.43,747.77,819.1
50208,50255.99,33.43,746.77,818.1
50256,50303.99,32.43,745.77,817.1
50304,50351.99,31.43,744.77,816.1
50352,50399.99,30.43,743.77,815.1
50400,50447.99,29.43,742.77,814.1
50448,50495.99,28.43,741.77,813.1
50496,50543.99,27.43,740.77,812.1
50544,50591.99,26.43,739.77,811.1
50592,50639.99,25.43,738.77,810.1
50640,50687.99,24.43,737.77,809.1
50688,50735.99,23.43,736.77,808.1
50736,50783.99,22.43,735.77,807.1
50784,50831.99,21.43,734.77,806.1
50832,50879.99,20.43,733.77,805.1
50880,50927.99,19.43,732.77,804.1
50928,50975.99,18.43,731.77,803.1
50976,51023.99,17.43,730.77,802.1
51024,51071.99,16.43,729.77,801.1
51072,51119.99,15.43,728.77,800.1
51120,51167.99,14.43,727.77,799.1
51168,51215.99,13.43,726.77,798.1
51216,51263.99,12.43,725.77,797.1
51264,51311.99,11.43,724.77,796.1
51312,51359.99,10.43,723.77,795.1
51360,51407.99,9.43,722.77,794.1
51408,51455.99,8.43,721.77,793.1
51456,51503.99,7.43,720.77,792.1
51504,51551.99,6.43,719.77,791.1
51552,51599.99,5.43,718.77,790.1
51600,51647.99,4.43,717.77,789.1
51648,51695.99,3.43,716.77,788.1
51696,51743.99,2.43,715.77,787.1
51744,51791.99,1.43,714.77,786.1
51792,51839.99,0.43,713.77,785.1
