Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel (excluant la pension de la SV et le SRG) De,Revenu annuel (excluant la pension de la SV et le SRG) À,Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
9920,9935.99,487.47,1200.81,1272.14
9936,9959.99,486.47,1199.81,1271.14
9960,9967.99,485.47,1198.81,1270.14
9968,9983.99,485.43,1198.77,1270.1
9984,10007.99,484.43,1197.77,1269.1
10008,10031.99,483.43,1196.77,1268.1
10032,10055.99,482.43,1195.77,1267.1
10056,10079.99,481.43,1194.77,1266.1
10080,10103.99,480.43,1193.77,1265.1
10104,10127.99,479.43,1192.77,1264.1
10128,10151.99,478.43,1191.77,1263.1
10152,10175.99,477.43,1190.77,1262.1
10176,10199.99,476.43,1189.77,1261.1
10200,10223.99,475.43,1188.77,1260.1
10224,10247.99,474.43,1187.77,1259.1
10248,10271.99,473.43,1186.77,1258.1
10272,10295.99,472.43,1185.77,1257.1
10296,10319.99,471.43,1184.77,1256.1
10320,10343.99,470.43,1183.77,1255.1
10344,10367.99,469.43,1182.77,1254.1
10368,10391.99,468.43,1181.77,1253.1
10392,10415.99,467.43,1180.77,1252.1
10416,10439.99,466.43,1179.77,1251.1
10440,10463.99,465.43,1178.77,1250.1
10464,10487.99,464.43,1177.77,1249.1
10488,10511.99,463.43,1176.77,1248.1
10512,10535.99,462.43,1175.77,1247.1
10536,10559.99,461.43,1174.77,1246.1
10560,10583.99,460.43,1173.77,1245.1
10584,10607.99,459.43,1172.77,1244.1
10608,10631.99,458.43,1171.77,1243.1
10632,10655.99,457.43,1170.77,1242.1
10656,10679.99,456.43,1169.77,1241.1
10680,10703.99,455.43,1168.77,1240.1
10704,10727.99,454.43,1167.77,1239.1
10728,10751.99,453.43,1166.77,1238.1
10752,10775.99,452.43,1165.77,1237.1
10776,10799.99,451.43,1164.77,1236.1
10800,10823.99,450.43,1163.77,1235.1
10824,10847.99,449.43,1162.77,1234.1
10848,10871.99,448.43,1161.77,1233.1
10872,10895.99,447.43,1160.77,1232.1
10896,10919.99,446.43,1159.77,1231.1
10920,10943.99,445.43,1158.77,1230.1
10944,10967.99,444.43,1157.77,1229.1
10968,10991.99,443.43,1156.77,1228.1
10992,11015.99,442.43,1155.77,1227.1
11016,11039.99,441.43,1154.77,1226.1
11040,11063.99,440.43,1153.77,1225.1
11064,11087.99,439.43,1152.77,1224.1
11088,11111.99,438.43,1151.77,1223.1
11112,11135.99,437.43,1150.77,1222.1
11136,11159.99,436.43,1149.77,1221.1
11160,11183.99,435.43,1148.77,1220.1
11184,11207.99,434.43,1147.77,1219.1
11208,11231.99,433.43,1146.77,1218.1
11232,11255.99,432.43,1145.77,1217.1
11256,11279.99,431.43,1144.77,1216.1
11280,11303.99,430.43,1143.77,1215.1
11304,11327.99,429.43,1142.77,1214.1
11328,11351.99,428.43,1141.77,1213.1
11352,11375.99,427.43,1140.77,1212.1
11376,11399.99,426.43,1139.77,1211.1
11400,11423.99,425.43,1138.77,1210.1
11424,11447.99,424.43,1137.77,1209.1
11448,11471.99,423.43,1136.77,1208.1
11472,11495.99,422.43,1135.77,1207.1
11496,11519.99,421.43,1134.77,1206.1
11520,11543.99,420.43,1133.77,1205.1
11544,11567.99,419.43,1132.77,1204.1
11568,11591.99,418.43,1131.77,1203.1
11592,11615.99,417.43,1130.77,1202.1
11616,11639.99,416.43,1129.77,1201.1
11640,11663.99,415.43,1128.77,1200.1
11664,11687.99,414.43,1127.77,1199.1
11688,11711.99,413.43,1126.77,1198.1
11712,11735.99,412.43,1125.77,1197.1
11736,11759.99,411.43,1124.77,1196.1
11760,11783.99,410.43,1123.77,1195.1
11784,11807.99,409.43,1122.77,1194.1
11808,11831.99,408.43,1121.77,1193.1
11832,11855.99,407.43,1120.77,1192.1
11856,11879.99,406.43,1119.77,1191.1
11880,11903.99,405.43,1118.77,1190.1
11904,11927.99,404.43,1117.77,1189.1
11928,11951.99,403.43,1116.77,1188.1
11952,11975.99,402.43,1115.77,1187.1
11976,11999.99,401.43,1114.77,1186.1
12000,12023.99,400.43,1113.77,1185.1
12024,12047.99,399.43,1112.77,1184.1
12048,12071.99,398.43,1111.77,1183.1
12072,12095.99,397.43,1110.77,1182.1
12096,12119.99,396.43,1109.77,1181.1
12120,12143.99,395.43,1108.77,1180.1
12144,12167.99,394.43,1107.77,1179.1
12168,12191.99,393.43,1106.77,1178.1
12192,12215.99,392.43,1105.77,1177.1
12216,12239.99,391.43,1104.77,1176.1
12240,12263.99,390.43,1103.77,1175.1
12264,12287.99,389.43,1102.77,1174.1
12288,12311.99,388.43,1101.77,1173.1
12312,12335.99,387.43,1100.77,1172.1
12336,12359.99,386.43,1099.77,1171.1
12360,12383.99,385.43,1098.77,1170.1
12384,12407.99,384.43,1097.77,1169.1
12408,12431.99,383.43,1096.77,1168.1
12432,12455.99,382.43,1095.77,1167.1
12456,12479.99,381.43,1094.77,1166.1
12480,12503.99,380.43,1093.77,1165.1
12504,12527.99,379.43,1092.77,1164.1
12528,12551.99,378.43,1091.77,1163.1
12552,12575.99,377.43,1090.77,1162.1
12576,12599.99,376.43,1089.77,1161.1
12600,12623.99,375.43,1088.77,1160.1
12624,12647.99,374.43,1087.77,1159.1
12648,12671.99,373.43,1086.77,1158.1
12672,12695.99,372.43,1085.77,1157.1
12696,12719.99,371.43,1084.77,1156.1
12720,12743.99,370.43,1083.77,1155.1
12744,12767.99,369.43,1082.77,1154.1
12768,12791.99,368.43,1081.77,1153.1
12792,12815.99,367.43,1080.77,1152.1
12816,12839.99,366.43,1079.77,1151.1
12840,12863.99,365.43,1078.77,1150.1
12864,12887.99,364.43,1077.77,1149.1
12888,12911.99,363.43,1076.77,1148.1
12912,12935.99,362.43,1075.77,1147.1
12936,12959.99,361.43,1074.77,1146.1
12960,12983.99,360.43,1073.77,1145.1
12984,13007.99,359.43,1072.77,1144.1
13008,13031.99,358.43,1071.77,1143.1
13032,13055.99,357.43,1070.77,1142.1
13056,13079.99,356.43,1069.77,1141.1
13080,13103.99,355.43,1068.77,1140.1
13104,13127.99,354.43,1067.77,1139.1
13128,13151.99,353.43,1066.77,1138.1
13152,13175.99,352.43,1065.77,1137.1
13176,13199.99,351.43,1064.77,1136.1
13200,13223.99,350.43,1063.77,1135.1
13224,13247.99,349.43,1062.77,1134.1
13248,13271.99,348.43,1061.77,1133.1
13272,13295.99,347.43,1060.77,1132.1
13296,13319.99,346.43,1059.77,1131.1
13320,13343.99,345.43,1058.77,1130.1
13344,13367.99,344.43,1057.77,1129.1
13368,13391.99,343.43,1056.77,1128.1
13392,13415.99,342.43,1055.77,1127.1
13416,13439.99,341.43,1054.77,1126.1
13440,13463.99,340.43,1053.77,1125.1
13464,13487.99,339.43,1052.77,1124.1
13488,13511.99,338.43,1051.77,1123.1
13512,13535.99,337.43,1050.77,1122.1
13536,13559.99,336.43,1049.77,1121.1
13560,13583.99,335.43,1048.77,1120.1
13584,13607.99,334.43,1047.77,1119.1
13608,13631.99,333.43,1046.77,1118.1
13632,13655.99,332.43,1045.77,1117.1
13656,13679.99,331.43,1044.77,1116.1
13680,13703.99,330.43,1043.77,1115.1
13704,13727.99,329.43,1042.77,1114.1
13728,13751.99,328.43,1041.77,1113.1
13752,13775.99,327.43,1040.77,1112.1
13776,13799.99,326.43,1039.77,1111.1
13800,13823.99,325.43,1038.77,1110.1
13824,13847.99,324.43,1037.77,1109.1
13848,13871.99,323.43,1036.77,1108.1
13872,13895.99,322.43,1035.77,1107.1
13896,13919.99,321.43,1034.77,1106.1
13920,13943.99,320.43,1033.77,1105.1
13944,13967.99,319.43,1032.77,1104.1
13968,13991.99,318.43,1031.77,1103.1
13992,14015.99,317.43,1030.77,1102.1
14016,14039.99,316.43,1029.77,1101.1
14040,14063.99,315.43,1028.77,1100.1
14064,14087.99,314.43,1027.77,1099.1
14088,14111.99,313.43,1026.77,1098.1
14112,14135.99,312.43,1025.77,1097.1
14136,14159.99,311.43,1024.77,1096.1
14160,14183.99,310.43,1023.77,1095.1
14184,14207.99,309.43,1022.77,1094.1
14208,14231.99,308.43,1021.77,1093.1
14232,14255.99,307.43,1020.77,1092.1
14256,14279.99,306.43,1019.77,1091.1
14280,14303.99,305.43,1018.77,1090.1
14304,14327.99,304.43,1017.77,1089.1
14328,14351.99,303.43,1016.77,1088.1
14352,14375.99,302.43,1015.77,1087.1
14376,14399.99,301.43,1014.77,1086.1
14400,14423.99,300.43,1013.77,1085.1
14424,14447.99,299.43,1012.77,1084.1
14448,14471.99,298.43,1011.77,1083.1
14472,14495.99,297.43,1010.77,1082.1
14496,14519.99,296.43,1009.77,1081.1
14520,14543.99,295.43,1008.77,1080.1
14544,14567.99,294.43,1007.77,1079.1
14568,14591.99,293.43,1006.77,1078.1
14592,14615.99,292.43,1005.77,1077.1
14616,14639.99,291.43,1004.77,1076.1
14640,14663.99,290.43,1003.77,1075.1
14664,14687.99,289.43,1002.77,1074.1
14688,14711.99,288.43,1001.77,1073.1
14712,14735.99,287.43,1000.77,1072.1
14736,14759.99,286.43,999.77,1071.1
14760,14783.99,285.43,998.77,1070.1
14784,14807.99,284.43,997.77,1069.1
14808,14831.99,283.43,996.77,1068.1
14832,14855.99,282.43,995.77,1067.1
14856,14879.99,281.43,994.77,1066.1
14880,14903.99,280.43,993.77,1065.1
14904,14927.99,279.43,992.77,1064.1
14928,14951.99,278.43,991.77,1063.1
14952,14975.99,277.43,990.77,1062.1
14976,14999.99,276.43,989.77,1061.1
15000,15023.99,275.43,988.77,1060.1
15024,15047.99,274.43,987.77,1059.1
15048,15071.99,273.43,986.77,1058.1
15072,15095.99,272.43,985.77,1057.1
15096,15119.99,271.43,984.77,1056.1
15120,15143.99,270.43,983.77,1055.1
15144,15167.99,269.43,982.77,1054.1
15168,15191.99,268.43,981.77,1053.1
15192,15215.99,267.43,980.77,1052.1
15216,15239.99,266.43,979.77,1051.1
15240,15263.99,265.43,978.77,1050.1
15264,15287.99,264.43,977.77,1049.1
15288,15311.99,263.43,976.77,1048.1
15312,15335.99,262.43,975.77,1047.1
15336,15359.99,261.43,974.77,1046.1
15360,15383.99,260.43,973.77,1045.1
15384,15407.99,259.43,972.77,1044.1
15408,15431.99,258.43,971.77,1043.1
15432,15455.99,257.43,970.77,1042.1
15456,15479.99,256.43,969.77,1041.1
15480,15503.99,255.43,968.77,1040.1
15504,15527.99,254.43,967.77,1039.1
15528,15551.99,253.43,966.77,1038.1
15552,15575.99,252.43,965.77,1037.1
15576,15599.99,251.43,964.77,1036.1
15600,15623.99,250.43,963.77,1035.1
15624,15647.99,249.43,962.77,1034.1
15648,15671.99,248.43,961.77,1033.1
15672,15695.99,247.43,960.77,1032.1
15696,15719.99,246.43,959.77,1031.1
15720,15743.99,245.43,958.77,1030.1
15744,15767.99,244.43,957.77,1029.1
15768,15791.99,243.43,956.77,1028.1
15792,15815.99,242.43,955.77,1027.1
15816,15839.99,241.43,954.77,1026.1
15840,15863.99,240.43,953.77,1025.1
15864,15887.99,239.43,952.77,1024.1
15888,15911.99,238.43,951.77,1023.1
15912,15935.99,237.43,950.77,1022.1
15936,15959.99,236.43,949.77,1021.1
15960,15983.99,235.43,948.77,1020.1
15984,16007.99,234.43,947.77,1019.1
16008,16031.99,233.43,946.77,1018.1
16032,16055.99,232.43,945.77,1017.1
16056,16079.99,231.43,944.77,1016.1
16080,16103.99,230.43,943.77,1015.1
16104,16127.99,229.43,942.77,1014.1
16128,16151.99,228.43,941.77,1013.1
16152,16175.99,227.43,940.77,1012.1
16176,16199.99,226.43,939.77,1011.1
16200,16223.99,225.43,938.77,1010.1
16224,16247.99,224.43,937.77,1009.1
16248,16271.99,223.43,936.77,1008.1
16272,16295.99,222.43,935.77,1007.1
16296,16319.99,221.43,934.77,1006.1
16320,16343.99,220.43,933.77,1005.1
16344,16367.99,219.43,932.77,1004.1
16368,16391.99,218.43,931.77,1003.1
16392,16415.99,217.43,930.77,1002.1
16416,16439.99,216.43,929.77,1001.1
16440,16463.99,215.43,928.77,1000.1
16464,16487.99,214.43,927.77,999.1
16488,16511.99,213.43,926.77,998.1
16512,16535.99,212.43,925.77,997.1
16536,16559.99,211.43,924.77,996.1
16560,16583.99,210.43,923.77,995.1
16584,16607.99,209.43,922.77,994.1
16608,16631.99,208.43,921.77,993.1
16632,16655.99,207.43,920.77,992.1
16656,16679.99,206.43,919.77,991.1
16680,16703.99,205.43,918.77,990.1
16704,16727.99,204.43,917.77,989.1
16728,16751.99,203.43,916.77,988.1
16752,16775.99,202.43,915.77,987.1
16776,16799.99,201.43,914.77,986.1
16800,16823.99,200.43,913.77,985.1
16824,16847.99,199.43,912.77,984.1
16848,16871.99,198.43,911.77,983.1
16872,16895.99,197.43,910.77,982.1
16896,16919.99,196.43,909.77,981.1
16920,16943.99,195.43,908.77,980.1
16944,16967.99,194.43,907.77,979.1
16968,16991.99,193.43,906.77,978.1
16992,17015.99,192.43,905.77,977.1
17016,17039.99,191.43,904.77,976.1
17040,17063.99,190.43,903.77,975.1
17064,17087.99,189.43,902.77,974.1
17088,17111.99,188.43,901.77,973.1
17112,17135.99,187.43,900.77,972.1
17136,17159.99,186.43,899.77,971.1
17160,17183.99,185.43,898.77,970.1
17184,17207.99,184.43,897.77,969.1
17208,17231.99,183.43,896.77,968.1
17232,17255.99,182.43,895.77,967.1
17256,17279.99,181.43,894.77,966.1
17280,17303.99,180.43,893.77,965.1
17304,17327.99,179.43,892.77,964.1
17328,17351.99,178.43,891.77,963.1
17352,17375.99,177.43,890.77,962.1
17376,17399.99,176.43,889.77,961.1
17400,17423.99,175.43,888.77,960.1
17424,17447.99,174.43,887.77,959.1
17448,17471.99,173.43,886.77,958.1
17472,17495.99,172.43,885.77,957.1
17496,17519.99,171.43,884.77,956.1
17520,17543.99,170.43,883.77,955.1
17544,17567.99,169.43,882.77,954.1
17568,17591.99,168.43,881.77,953.1
17592,17615.99,167.43,880.77,952.1
17616,17639.99,166.43,879.77,951.1
17640,17663.99,165.43,878.77,950.1
17664,17687.99,164.43,877.77,949.1
17688,17711.99,163.43,876.77,948.1
17712,17735.99,162.43,875.77,947.1
17736,17759.99,161.43,874.77,946.1
17760,17783.99,160.43,873.77,945.1
17784,17807.99,159.43,872.77,944.1
17808,17831.99,158.43,871.77,943.1
17832,17855.99,157.43,870.77,942.1
17856,17879.99,156.43,869.77,941.1
17880,17903.99,155.43,868.77,940.1
17904,17927.99,154.43,867.77,939.1
17928,17951.99,153.43,866.77,938.1
17952,17975.99,152.43,865.77,937.1
17976,17999.99,151.43,864.77,936.1
18000,18023.99,150.43,863.77,935.1
18024,18047.99,149.43,862.77,934.1
18048,18071.99,148.43,861.77,933.1
18072,18095.99,147.43,860.77,932.1
18096,18119.99,146.43,859.77,931.1
18120,18143.99,145.43,858.77,930.1
18144,18167.99,144.43,857.77,929.1
18168,18191.99,143.43,856.77,928.1
18192,18215.99,142.43,855.77,927.1
18216,18239.99,141.43,854.77,926.1
18240,18263.99,140.43,853.77,925.1
18264,18287.99,139.43,852.77,924.1
18288,18311.99,138.43,851.77,923.1
18312,18335.99,137.43,850.77,922.1
18336,18359.99,136.43,849.77,921.1
18360,18383.99,135.43,848.77,920.1
18384,18407.99,134.43,847.77,919.1
18408,18431.99,133.43,846.77,918.1
18432,18455.99,132.43,845.77,917.1
18456,18479.99,131.43,844.77,916.1
18480,18503.99,130.43,843.77,915.1
18504,18527.99,129.43,842.77,914.1
18528,18551.99,128.43,841.77,913.1
18552,18575.99,127.43,840.77,912.1
18576,18599.99,126.43,839.77,911.1
18600,18623.99,125.43,838.77,910.1
18624,18647.99,124.43,837.77,909.1
18648,18671.99,123.43,836.77,908.1
18672,18695.99,122.43,835.77,907.1
18696,18719.99,121.43,834.77,906.1
18720,18743.99,120.43,833.77,905.1
18744,18767.99,119.43,832.77,904.1
18768,18791.99,118.43,831.77,903.1
18792,18815.99,117.43,830.77,902.1
18816,18839.99,116.43,829.77,901.1
18840,18863.99,115.43,828.77,900.1
18864,18887.99,114.43,827.77,899.1
18888,18911.99,113.43,826.77,898.1
18912,18935.99,112.43,825.77,897.1
18936,18959.99,111.43,824.77,896.1
18960,18983.99,110.43,823.77,895.1
18984,19007.99,109.43,822.77,894.1
19008,19031.99,108.43,821.77,893.1
19032,19055.99,107.43,820.77,892.1
19056,19079.99,106.43,819.77,891.1
19080,19103.99,105.43,818.77,890.1
19104,19127.99,104.43,817.77,889.1
19128,19151.99,103.43,816.77,888.1
19152,19175.99,102.43,815.77,887.1
19176,19199.99,101.43,814.77,886.1
19200,19223.99,100.43,813.77,885.1
19224,19247.99,99.43,812.77,884.1
19248,19271.99,98.43,811.77,883.1
19272,19295.99,97.43,810.77,882.1
19296,19319.99,96.43,809.77,881.1
19320,19343.99,95.43,808.77,880.1
19344,19367.99,94.43,807.77,879.1
19368,19391.99,93.43,806.77,878.1
19392,19415.99,92.43,805.77,877.1
19416,19439.99,91.43,804.77,876.1
19440,19463.99,90.43,803.77,875.1
19464,19487.99,89.43,802.77,874.1
19488,19511.99,88.43,801.77,873.1
19512,19535.99,87.43,800.77,872.1
19536,19559.99,86.43,799.77,871.1
19560,19583.99,85.43,798.77,870.1
19584,19607.99,84.43,797.77,869.1
19608,19631.99,83.43,796.77,868.1
19632,19655.99,82.43,795.77,867.1
19656,19679.99,81.43,794.77,866.1
19680,19703.99,80.43,793.77,865.1
19704,19727.99,79.43,792.77,864.1
19728,19751.99,78.43,791.77,863.1
19752,19775.99,77.43,790.77,862.1
19776,19799.99,76.43,789.77,861.1
19800,19823.99,75.43,788.77,860.1
19824,19847.99,74.43,787.77,859.1
19848,19871.99,73.43,786.77,858.1
19872,19895.99,72.43,785.77,857.1
19896,19919.99,71.43,784.77,856.1
19920,19943.99,70.43,783.77,855.1
19944,19967.99,69.43,782.77,854.1
19968,19991.99,68.43,781.77,853.1
19992,20015.99,67.43,780.77,852.1
20016,20039.99,66.43,779.77,851.1
20040,20063.99,65.43,778.77,850.1
20064,20087.99,64.43,777.77,849.1
20088,20111.99,63.43,776.77,848.1
20112,20135.99,62.43,775.77,847.1
20136,20159.99,61.43,774.77,846.1
20160,20183.99,60.43,773.77,845.1
20184,20207.99,59.43,772.77,844.1
20208,20231.99,58.43,771.77,843.1
20232,20255.99,57.43,770.77,842.1
20256,20279.99,56.43,769.77,841.1
20280,20303.99,55.43,768.77,840.1
20304,20327.99,54.43,767.77,839.1
20328,20351.99,53.43,766.77,838.1
20352,20375.99,52.43,765.77,837.1
20376,20399.99,51.43,764.77,836.1
20400,20423.99,50.43,763.77,835.1
20424,20447.99,49.43,762.77,834.1
20448,20471.99,48.43,761.77,833.1
20472,20495.99,47.43,760.77,832.1
20496,20519.99,46.43,759.77,831.1
20520,20543.99,45.43,758.77,830.1
20544,20567.99,44.43,757.77,829.1
20568,20591.99,43.43,756.77,828.1
20592,20615.99,42.43,755.77,827.1
20616,20639.99,41.43,754.77,826.1
20640,20663.99,40.43,753.77,825.1
20664,20687.99,39.43,752.77,824.1
20688,20711.99,38.43,751.77,823.1
20712,20735.99,37.43,750.77,822.1
20736,20759.99,36.43,749.77,821.1
20760,20783.99,35.43,748.77,820.1
20784,20807.99,34.43,747.77,819.1
20808,20831.99,33.43,746.77,818.1
20832,20855.99,32.43,745.77,817.1
20856,20879.99,31.43,744.77,816.1
20880,20903.99,30.43,743.77,815.1
20904,20927.99,29.43,742.77,814.1
20928,20951.99,28.43,741.77,813.1
20952,20975.99,27.43,740.77,812.1
20976,20999.99,26.43,739.77,811.1
21000,21023.99,25.43,738.77,810.1
21024,21047.99,24.43,737.77,809.1
21048,21071.99,23.43,736.77,808.1
21072,21095.99,22.43,735.77,807.1
21096,21119.99,21.43,734.77,806.1
21120,21143.99,20.43,733.77,805.1
21144,21167.99,19.43,732.77,804.1
21168,21191.99,18.43,731.77,803.1
21192,21215.99,17.43,730.77,802.1
21216,21239.99,16.43,729.77,801.1
21240,21263.99,15.43,728.77,800.1
21264,21287.99,14.43,727.77,799.1
21288,21311.99,13.43,726.77,798.1
21312,21335.99,12.43,725.77,797.1
21336,21359.99,11.43,724.77,796.1
21360,21383.99,10.43,723.77,795.1
21384,21407.99,9.43,722.77,794.1
21408,21431.99,8.43,721.77,793.1
21432,21455.99,7.43,720.77,792.1
21456,21479.99,6.43,719.77,791.1
21480,21503.99,5.43,718.77,790.1
21504,21527.99,4.43,717.77,789.1
21528,21551.99,3.43,716.77,788.1
21552,21575.99,2.43,715.77,787.1
21576,21599.99,1.43,714.77,786.1
21600,21623.99,0.43,713.77,785.1
