Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel (excluant la pension de la SV et le SRG) De,Revenu annuel (excluant la pension de la SV et le SRG) À,Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
2768,2783.99,934.47,1647.81,1719.14
2784,2807.99,933.47,1646.81,1718.14
2808,2815.99,932.47,1645.81,1717.14
2816,2831.99,931.47,1644.81,1716.14
2832,2855.99,930.47,1643.81,1715.14
2856,2863.99,929.47,1642.81,1714.14
2864,2879.99,928.47,1641.81,1713.14
2880,2903.99,927.47,1640.81,1712.14
2904,2911.99,926.47,1639.81,1711.14
2912,2927.99,925.47,1638.81,1710.14
2928,2951.99,924.47,1637.81,1709.14
2952,2959.99,923.47,1636.81,1708.14
2960,2975.99,922.47,1635.81,1707.14
2976,2999.99,921.47,1634.81,1706.14
3000,3007.99,920.47,1633.81,1705.14
3008,3023.99,919.47,1632.81,1704.14
3024,3047.99,918.47,1631.81,1703.14
3048,3055.99,917.47,1630.81,1702.14
3056,3071.99,916.47,1629.81,1701.14
3072,3095.99,915.47,1628.81,1700.14
3096,3103.99,914.47,1627.81,1699.14
3104,3119.99,913.47,1626.81,1698.14
3120,3143.99,912.47,1625.81,1697.14
3144,3151.99,911.47,1624.81,1696.14
3152,3167.99,910.47,1623.81,1695.14
3168,3191.99,909.47,1622.81,1694.14
3192,3199.99,908.47,1621.81,1693.14
3200,3215.99,907.47,1620.81,1692.14
3216,3239.99,906.47,1619.81,1691.14
3240,3247.99,905.47,1618.81,1690.14
3248,3263.99,904.47,1617.81,1689.14
3264,3287.99,903.47,1616.81,1688.14
3288,3295.99,902.47,1615.81,1687.14
3296,3311.99,901.47,1614.81,1686.14
3312,3335.99,900.47,1613.81,1685.14
3336,3343.99,899.47,1612.81,1684.14
